name;englisch_name;Effet en combat;Effet sur le terrain
Absentéisme;Truant;Le Pokémon n'attaque qu'un tour sur deux.;—
Absorb Eau;Water Absorb;Les attaques de type Eau reçues par le Pokémon régénèrent 1/4 de ses PV.;—
Absorb Volt;Volt Absorb;Les attaques de type Électrik reçues par le Pokémon régénèrent 1/4 de ses PV.;—
Acharné;Defiant;Statistiques : Monte l'Attaque du Pokémon de deux niveaux si l'une de ses statistiques est baissée par l'adversaire.;—
Adaptabilité;Adaptability;STAB : Si ce Pokémon utilise une attaque de son type, la puissance de l'attaque est multipliée par 2 au lieu de 1.5.;—
Agitation;Hustle;Statistiques : Augmente l'attaque de 50% mais baisse la précision de 20%.;Augmente de 50% les chances de rencontrer un Pokémon sauvage de haut niveau.É
Ailes Bourrasque;Gale Wings;Augmente la priorité des capacités de type Vol.;—
Air Lock;Air Lock;Annule les effets du climat.;—
Alerte Neige;Snow Warning;Le Pokémon déclenche une grêle lorsqu'il est envoyé au combat.;—
Amour Filial;Parental Bond;Permet au lanceur de porter deux coups par tour au lieu d'un, le deuxième coup fera deux fois moins de dégâts que le premier.;—
Analyste;Analytic;Si le Pokémon frappe en dernier durant le tour, la puissance de son attaque est augmentée de 30%.;—
Animacœur;Soul-Heart;Augmente l'Attaque Spéciale lorsqu'un Pokémon est mis hors combat.;—
Annule Garde;No Guard;Toutes les attaques du Pokémon et de son adversaire ont une précision de 100%.;Augmente les chances de rencontrer un Pokémon sauvage.
Anti-Bruit;Soundproof;Annule les effets dus à une attaque sonore.;—
Anticipation;Anticipation;Alerte et protège lorsque le Pokémon adverse possède certaines attaques.;—
Aquabulle;Water Bubble;Réduit la puissance des capacités Feu subies, immunise contre les brûlures et double la puissance des capacités Eau;—
Armumagma;Magma Armor;Immunise contre le gel.;Divise par deux le nombre de pas nécessaire à l'éclosion d'un œuf.É
Armurbaston;Battle Armor;Annule les chances de coups critiques du Pokémon ennemi.;—
Armurouillée;Weak Armor;Statistiques : Le Pokémon touché par une attaque physique voit sa défense diminuée d'un niveau et sa vitesse augmentée d'un niveau.;—
Aroma-Voile;Aroma Veil;Protège les Pokémon alliés des capacités ayant un effet sur l'état mental tels que Attraction ou Tourmente.;—
Attention;Inner Focus;Immunise contre la peur.;—
Aura Féérique;Fairy Aura;Augmente la puissance des attaques de type Fée des Pokémon présents sur le terrain.;—
Aura Inversée;Aura Break;Inverse les effets des talents Aura.;—
Aura Ténébreuse;Dark Aura;Augmente la puissance des attaques de type Ténèbres des Pokémon présents sur le terrain.;—
Baigne Sable;Sand Rush;Statistiques : Double la Vitesse du Pokémon lors d'une tempête de sable. Immunise contre les dégâts de la tempête.;—
Bajoues;Cheek Pouch;Lorsque le Pokémon mange une Baie, il obtient ses effets et regagne des PV en plus.;—
Banc;Schooling;Permet de changer de forme (sous certaines conditions).;—
Battant;Competitive;Augmente l'Attaque Spéciale par deux niveaux lorsque n'importe quelle stat est baissée par un Pokémon adverse.;—
Batterie;Battery;Augmente la puissance des capacités spéciales des alliés.;—
Benêt;Oblivious;Immunise contre l'attraction. À partir de la 6ème génération, ce talent immunise aussi contre la provocation.;—
Boom Final;Aftermath;Enlève 1/4 des PV totaux du Pokémon ennemi mettant K.O. par contact.;—
Boost Chimère;Beast Boost;Augmente la stat la plus élevée du Pokémon quand il met K.O. un autre Pokémon.;—
Bouclier-Carcan;Shields Down;Confère une bonne défense et protège des altérations de statuts tant que les PV sont au-dessus de la moitié.;—
Boule de Poils;Fluffy;Divise par 2 les dégâts des capacités directes mais les multiplie par 2 si elles sont de type Feu.;—
Brasier;Blaze;Augmente la puissance des attaques de type Feu de 50% lorsque le Pokémon a moins d'1/3 de ses PV totaux.;—
Brise Moule;Mold Breaker;Peut toucher un Pokémon adverse malgré son talent.;—
Cacophonie*;Cacophony;Annule les effets dus à une attaque sonore.;—
Calque;Trace;Copie le talent du Pokémon adverse.;—
Cérébro-Force;Neuroforce;Augmente la puissance des capacités super efficaces.;—
Chanceux;Super Luck;Double les chance de porter un coup critique.;—
Chasse-Neige;Slush Rush;Double la Vitesse sous la Grêle.;—
Cherche Miel;Honey Gather;—;Le Pokémon peut trouver du Miel après un combat.
Chlorophylle;Chlorophyll;Statistiques : Augmente la vitesse au soleil.;—
Ciel Gris;Cloud Nine;Annule les effets du climat.;—
